refseq_mrna_predicted	ensembl_transcript_id
XM_017316519	ENSMUST00000108909
XM_017316569	ENSMUST00000160276
XM_017316586	ENSMUST00000109443
XM_017316674	ENSMUST00000023741
XM_017316700	ENSMUST00000208290
XM_017316962	ENSMUST00000126869
XM_017317158	ENSMUST00000023452
XM_017317710	ENSMUST00000190686
XM_017317859	ENSMUST00000201781
XM_017318078	ENSMUST00000010239
XM_017318484	ENSMUST00000016294
XM_017318524	ENSMUST00000001202
XM_017318909	ENSMUST00000005233
XM_017319108	ENSMUST00000139819
XM_017319200	ENSMUST00000037526
XM_017319262	ENSMUST00000154230
XM_017319263	ENSMUST00000154230
XM_017319622	ENSMUST00000133154
XM_017319816	ENSMUST00000175866
XM_017320573	ENSMUST00000067924
XM_017320644	ENSMUST00000112008
XM_017320938	ENSMUST00000041543
XM_017321127	ENSMUST00000112066
XM_017321691	ENSMUST00000159570
XM_017322088	ENSMUST00000118962
XM_017322326	ENSMUST00000120836
XM_017322394	ENSMUST00000084513
XM_017322396	ENSMUST00000084513
XM_017322401	ENSMUST00000084513
XM_006495678	ENSMUST00000097785
XM_006495686	ENSMUST00000183302
XM_006495759	ENSMUST00000114018
XM_006495952	ENSMUST00000168099
XM_006496323	ENSMUST00000140485
XM_006496602	ENSMUST00000070330
XM_006496614	ENSMUST00000027888
XM_006496745	ENSMUST00000192069
XM_006497585	ENSMUST00000095087
XM_006497948	ENSMUST00000069817
XM_006497950	ENSMUST00000069817
XM_006498124	ENSMUST00000100143
XM_006498201	ENSMUST00000100334
XM_006498261	ENSMUST00000114102
XM_006498304	ENSMUST00000112987
XM_006498546	ENSMUST00000053666
XM_006498971	ENSMUST00000111293
XM_006498991	ENSMUST00000168621
XM_006499465	ENSMUST00000051454
XM_006500279	ENSMUST00000110136
XM_006500610	ENSMUST00000087517
XM_006500621	ENSMUST00000029116
XM_006501059	ENSMUST00000175903
XM_006501283	ENSMUST00000196398
XM_006501350	ENSMUST00000107505
XM_006501507	ENSMUST00000238317
XM_006501591	ENSMUST00000199659
XM_006501691	ENSMUST00000090558
XM_006501736	ENSMUST00000029800
XM_006501884	ENSMUST00000000348
XM_006502289	ENSMUST00000046521
XM_006502772	ENSMUST00000030676
XM_006502834	ENSMUST00000239177
XM_006503531	ENSMUST00000115386
XM_006503583	ENSMUST00000030691
XM_006503703	ENSMUST00000072971
XM_006503867	ENSMUST00000201168
XM_006503979	ENSMUST00000119705
XM_006504295	ENSMUST00000196085
XM_006504784	ENSMUST00000213013
XM_006504884	ENSMUST00000110677
XM_006505370	ENSMUST00000183703
XM_006505574	ENSMUST00000053880
XM_006505602	ENSMUST00000161779
XM_006505624	ENSMUST00000032192
XM_006505628	ENSMUST00000032192
XM_006506145	ENSMUST00000113169
XM_006506816	ENSMUST00000045846
XM_006507184	ENSMUST00000155358
XM_006507198	ENSMUST00000098266
XM_006507598	ENSMUST00000208742
XM_006507677	ENSMUST00000032891
XM_006507678	ENSMUST00000032891
XM_006509271	ENSMUST00000215588
XM_006510062	ENSMUST00000194252
XM_006510195	ENSMUST00000214357
XM_006510442	ENSMUST00000174641
XM_006510445	ENSMUST00000174641
XM_006510629	ENSMUST00000170998
XM_006510674	ENSMUST00000161431
XM_006510821	ENSMUST00000034973
XM_006510881	ENSMUST00000034699
XM_006510928	ENSMUST00000184666
XM_006511098	ENSMUST00000048043
XM_006511105	ENSMUST00000042824
XM_006511964	ENSMUST00000163979
XM_006512338	ENSMUST00000162065
XM_006512387	ENSMUST00000214522
XM_006512393	ENSMUST00000166734
XM_006512507	ENSMUST00000053748
XM_006512610	ENSMUST00000218359
XM_006512624	ENSMUST00000019986
XM_006512711	ENSMUST00000076817
XM_006512971	ENSMUST00000170219
XM_006513060	ENSMUST00000164107
XM_006513077	ENSMUST00000045529
XM_006513558	ENSMUST00000039259
XM_006513561	ENSMUST00000239120
XM_006513590	ENSMUST00000092219
XM_006513679	ENSMUST00000032719
XM_006513700	ENSMUST00000120638
XM_006513908	ENSMUST00000040110
XM_006514508	ENSMUST00000102930
XM_006514841	ENSMUST00000110049
XM_006515259	ENSMUST00000066652
XM_006515829	ENSMUST00000095737
XM_006515842	ENSMUST00000095610
XM_006515939	ENSMUST00000101432
XM_006516037	ENSMUST00000035987
XM_006516090	ENSMUST00000221721
XM_006516092	ENSMUST00000021567
XM_006516093	ENSMUST00000221721
XM_006516174	ENSMUST00000043082
XM_006516191	ENSMUST00000043169
XM_006516232	ENSMUST00000085108
XM_006516562	ENSMUST00000110559
XM_006516931	ENSMUST00000048716
XM_006517149	ENSMUST00000079828
XM_006517751	ENSMUST00000099295
XM_006518034	ENSMUST00000112658
XM_006518475	ENSMUST00000238504
XM_006518932	ENSMUST00000090302
XM_006520052	ENSMUST00000090247
XM_006521081	ENSMUST00000078673
XM_006521139	ENSMUST00000162424
XM_006521751	ENSMUST00000023165
XM_006521752	ENSMUST00000023165
XM_006521795	ENSMUST00000199708
XM_006521955	ENSMUST00000118923
XM_006522141	ENSMUST00000161046
XM_006523038	ENSMUST00000249913
XM_006523248	ENSMUST00000039655
XM_006523394	ENSMUST00000038116
XM_006523520	ENSMUST00000182597
XM_006523898	ENSMUST00000025036
XM_006524239	ENSMUST00000081285
XM_006524620	ENSMUST00000025253
XM_006524684	ENSMUST00000003726
XM_006525089	ENSMUST00000057610
XM_006525538	ENSMUST00000171187
XM_006525819	ENSMUST00000234480
XM_006526142	ENSMUST00000074352
XM_006526206	ENSMUST00000115050
XM_006527204	ENSMUST00000169121
XM_006527364	ENSMUST00000026218
XM_006527587	ENSMUST00000089302
XM_006528021	ENSMUST00000114438
XM_006528388	ENSMUST00000113364
XM_006528934	ENSMUST00000026292
XM_006528938	ENSMUST00000026292
XM_006529157	ENSMUST00000190723
XM_006529365	ENSMUST00000212510
XM_006529377	ENSMUST00000190298
XM_006529832	ENSMUST00000192314
XM_006529902	ENSMUST00000138762
XM_006530146	ENSMUST00000102560
XM_006530587	ENSMUST00000238701
XM_006530588	ENSMUST00000238701
XM_006530593	ENSMUST00000238701
XM_006530595	ENSMUST00000238701
XM_006530755	ENSMUST00000109764
XM_006531120	ENSMUST00000045393
XM_006531124	ENSMUST00000131717
XM_006531415	ENSMUST00000098519
XM_006531434	ENSMUST00000095172
XM_006531996	ENSMUST00000021045
XM_006532437	ENSMUST00000071325
XM_006532439	ENSMUST00000071325
XM_006532441	ENSMUST00000108251
XM_006532445	ENSMUST00000021314
XM_006532639	ENSMUST00000093995
XM_006532902	ENSMUST00000108634
XM_006533180	ENSMUST00000060255
XM_006533229	ENSMUST00000181283
XM_006533287	ENSMUST00000057207
XM_006533323	ENSMUST00000108864
XM_006533983	ENSMUST00000103186
XM_006533985	ENSMUST00000103186
XM_006534211	ENSMUST00000041956
XM_006535221	ENSMUST00000174598
XM_006535223	ENSMUST00000174598
XM_006537657	ENSMUST00000030025
XM_006537819	ENSMUST00000107976
XM_006537917	ENSMUST00000098070
XM_006538343	ENSMUST00000107158
XM_006538591	ENSMUST00000060537
XM_006538592	ENSMUST00000060537
XM_006538593	ENSMUST00000055647
XM_006538596	ENSMUST00000030806
XM_006538739	ENSMUST00000044521
XM_006539314	ENSMUST00000105991
XM_006539809	ENSMUST00000075845
XM_006540647	ENSMUST00000160433
XM_006540865	ENSMUST00000107935
XM_006540868	ENSMUST00000107938
XM_011238738	ENSMUST00000166172
XM_011238986	ENSMUST00000154230
XM_011239332	ENSMUST00000110333
XM_011239534	ENSMUST00000081982
XM_011239853	ENSMUST00000151937
XM_011240304	ENSMUST00000107693
XM_011240831	ENSMUST00000111398
XM_011241161	ENSMUST00000101044
XM_011241221	ENSMUST00000111905
XM_011242421	ENSMUST00000161354
XM_011242436	ENSMUST00000174008
XM_011242548	ENSMUST00000161132
XM_011242672	ENSMUST00000238315
XM_011242812	ENSMUST00000215784
XM_011243132	ENSMUST00000187083
XM_011243285	ENSMUST00000220049
XM_011243664	ENSMUST00000109654
XM_011244383	ENSMUST00000091628
XM_011245100	ENSMUST00000226342
XM_011245404	ENSMUST00000042035
XM_011245553	ENSMUST00000048966
XM_011245557	ENSMUST00000023024
XM_011245632	ENSMUST00000100203
XM_011245906	ENSMUST00000180200
XM_011245953	ENSMUST00000076810
XM_011246095	ENSMUST00000119878
XM_011246113	ENSMUST00000232395
XM_011246129	ENSMUST00000114292
XM_011246257	ENSMUST00000182597
XM_011246704	ENSMUST00000190686
XM_011247377	ENSMUST00000041391
XM_011247842	ENSMUST00000112904
XM_011247852	ENSMUST00000026292
XM_011247916	ENSMUST00000187541
XM_011248166	ENSMUST00000168288
XM_011248186	ENSMUST00000202406
XM_011249055	ENSMUST00000072031
XM_011249700	ENSMUST00000078226
XM_011249705	ENSMUST00000160518
XM_011250178	ENSMUST00000105575
XM_011250200	ENSMUST00000238956
XM_011250268	ENSMUST00000135665
XM_017312682	ENSMUST00000187541
XM_017313012	ENSMUST00000210166
XM_017313026	ENSMUST00000239509
XM_017313220	ENSMUST00000213324
XM_017313399	ENSMUST00000136740
XM_017313946	ENSMUST00000239301
XM_017313960	ENSMUST00000140471
XM_017314456	ENSMUST00000092971
XM_017314623	ENSMUST00000130627
XM_017315019	ENSMUST00000220990
XM_017315484	ENSMUST00000066928
XM_017315598	ENSMUST00000226059
XM_017315649	ENSMUST00000110516
XM_017315732	ENSMUST00000059826
XM_017315782	ENSMUST00000159855
XM_017315873	ENSMUST00000188210
XM_017315881	ENSMUST00000145596
XM_017315928	ENSMUST00000178730
XM_017315943	ENSMUST00000048371
XM_017316453	ENSMUST00000088614
XM_017316942	ENSMUST00000231569
XM_017317073	ENSMUST00000142817
XM_017317256	ENSMUST00000097368
XM_017317301	ENSMUST00000160844
XM_017317310	ENSMUST00000174331
XM_017317328	ENSMUST00000097274
XM_017317714	ENSMUST00000190686
XM_017317852	ENSMUST00000025110
XM_017317860	ENSMUST00000202937
XM_017317886	ENSMUST00000040506
XM_017318078	ENSMUST00000010239
XM_017318087	ENSMUST00000165566
XM_017318213	ENSMUST00000039327
XM_017319023	ENSMUST00000069098
XM_017319262	ENSMUST00000154230
XM_017319418	ENSMUST00000171289
XM_017319427	ENSMUST00000182064
XM_017319649	ENSMUST00000090558
XM_017319809	ENSMUST00000190298
XM_017319980	ENSMUST00000030676
XM_017320119	ENSMUST00000212756
XM_017320981	ENSMUST00000201700
XM_017321011	ENSMUST00000195636
XM_017321550	ENSMUST00000060043
XM_017321552	ENSMUST00000088644
XM_017322092	ENSMUST00000105902
XM_017322410	ENSMUST00000084513
XM_006495748	ENSMUST00000114013
XM_006497614	ENSMUST00000102919
XM_006497653	ENSMUST00000091089
XM_006497658	ENSMUST00000078352
XM_006497816	ENSMUST00000046257
XM_006497949	ENSMUST00000069817
XM_006497952	ENSMUST00000069817
XM_006498872	ENSMUST00000094639
XM_006499047	ENSMUST00000111213
XM_006500156	ENSMUST00000053699
XM_006504825	ENSMUST00000041804
XM_006505624	ENSMUST00000032192
XM_006507523	ENSMUST00000209537
XM_006507529	ENSMUST00000163751
XM_006507760	ENSMUST00000077609
XM_006507788	ENSMUST00000098308
XM_006512967	ENSMUST00000170219
XM_006513561	ENSMUST00000239120
XM_006514600	ENSMUST00000011877
XM_006514601	ENSMUST00000011877
XM_006515771	ENSMUST00000223502
XM_006515826	ENSMUST00000095737
XM_006515829	ENSMUST00000095737
XM_006516094	ENSMUST00000221675
XM_006517548	ENSMUST00000064762
XM_006520033	ENSMUST00000081728
XM_006520271	ENSMUST00000042035
XM_006521754	ENSMUST00000205765
XM_006525529	ENSMUST00000171187
XM_006525533	ENSMUST00000079362
XM_006525536	ENSMUST00000079362
XM_006525539	ENSMUST00000079362
XM_006526458	ENSMUST00000047865
XM_006528937	ENSMUST00000026292
XM_006529155	ENSMUST00000190723
XM_006529156	ENSMUST00000190723
XM_006529157	ENSMUST00000190723
XM_006529159	ENSMUST00000112958
XM_006532326	ENSMUST00000118353
XM_006532437	ENSMUST00000071325
XM_006532439	ENSMUST00000071325
XM_006533322	ENSMUST00000068853
XM_006534463	ENSMUST00000093165
XM_006535520	ENSMUST00000160518
XM_006538596	ENSMUST00000030806
XM_006540865	ENSMUST00000107935
XM_011241161	ENSMUST00000101044
XM_011241866	ENSMUST00000106267
XM_011245165	ENSMUST00000200169
XM_011246078	ENSMUST00000121759
XM_011246113	ENSMUST00000232395
XM_011246701	ENSMUST00000190686
XM_011248698	ENSMUST00000107788
XM_017316514	ENSMUST00000108909
XM_017316890	ENSMUST00000163230
XM_017319977	ENSMUST00000105616
