	GeneID	chr	strand	RiStart	RiEnd
960	ENSMUSG00000026288	chr1	+	87715037	87715313
961	ENSMUSG00000026288	chr1	+	87715037	87715313
965	ENSMUSG00000079434	chr1	+	87594549	87595089
966	ENSMUSG00000015757	chr10	+	7797757	7798557
967	ENSMUSG00000003068	chr10	+	80126032	80126369
968	ENSMUSG00000061689	chr2	+	156748022	156748420
969	ENSMUSG00000061689	chr2	+	156748943	156749356
971	ENSMUSG00000040466	chr7	+	27459255	27459633
972	ENSMUSG00000040506	chr2	+	91772290	91773747
974	ENSMUSG00000037542	chr10	+	21380829	21382447
980	ENSMUSG00000026457	chr1	+	134423957	134424922
981	ENSMUSG00000036620	chr11	+	50230960	50231324
982	ENSMUSG00000021957	chr14	+	30558720	30559865
983	ENSMUSG00000033257	chr1	+	74678897	74680463
985	ENSMUSG00000038683	chr13	+	41008885	41009364
986	ENSMUSG00000038683	chr13	+	41009447	41011282
987	ENSMUSG00000020898	chr11	+	69021029	69022614
988	ENSMUSG00000020898	chr11	+	69021029	69022614
989	ENSMUSG00000032177	chr9	+	21191326	21192431
992	ENSMUSG00000030180	chr6	+	120427728	120428377
993	ENSMUSG00000005677	chr1	+	171217075	171217430
994	ENSMUSG00000005677	chr1	+	171217313	171217731
995	ENSMUSG00000026126	chr1	+	34463106	34463364
996	ENSMUSG00000025207	chr19	+	45001167	45003397
999	ENSMUSG00000038013	chr11	+	98890699	98891612
1001	ENSMUSG00000030870	chr7	+	122067663	122068989
1004	ENSMUSG00000026883	chr2	+	35728057	35730994
1005	ENSMUSG00000026883	chr2	+	35728057	35730992
1006	ENSMUSG00000004947	chr5	+	136026469	136028572
1007	ENSMUSG00000004947	chr5	+	136026469	136028572
1015	ENSMUSG00000020859	chr11	+	94092337	94092982
1016	ENSMUSG00000020859	chr11	+	94092337	94092982
1018	ENSMUSG00000010358	chr11	+	101457189	101457522
1022	ENSMUSG00000041420	chr7	+	16178744	16179100
1023	ENSMUSG00000041420	chr7	+	16178744	16179100
1024	ENSMUSG00000038538	chr6	+	38487107	38491931
1026	ENSMUSG00000029326	chr5	+	100067798	100068760
1027	ENSMUSG00000004788	chr12	+	85219821	85220245
1028	ENSMUSG00000004788	chr12	+	85219821	85220245
1030	ENSMUSG00000020527	chr11	+	84905539	84907402
1031	ENSMUSG00000038775	chr9	+	119058004	119058516
1032	ENSMUSG00000038775	chr9	+	119067410	119068456
1034	ENSMUSG00000034949	chr10	+	81242769	81243795
1035	ENSMUSG00000019802	chr10	+	42796205	42797733
1036	ENSMUSG00000019802	chr10	+	42796205	42798855
1037	ENSMUSG00000019802	chr10	+	42796205	42798855
1038	ENSMUSG00000028068	chr3	+	88100625	88101595
1039	ENSMUSG00000025647	chr9	+	109055977	109056505
1040	ENSMUSG00000026170	chr1	+	74735553	74736036
1043	ENSMUSG00000019897	chr10	+	105842541	105845449
1044	ENSMUSG00000014075	chr16	+	32425240	32426921
1045	ENSMUSG00000026848	chr2	+	30953751	30955953
1046	ENSMUSG00000026848	chr2	+	30953751	30955953
1047	ENSMUSG00000026848	chr2	+	30953751	30955953
1048	ENSMUSG00000026848	chr2	+	30953751	30955953
1049	ENSMUSG00000026848	chr2	+	30953751	30955953
1053	ENSMUSG00000031889	chr8	+	105238422	105239750
1058	ENSMUSG00000001416	chr3	+	88299341	88300991
1059	ENSMUSG00000001416	chr3	+	88299341	88300991
1060	ENSMUSG00000001416	chr3	+	88300799	88300991
1061	ENSMUSG00000001416	chr3	+	88321013	88321507
1062	ENSMUSG00000042918	chr7	+	45642747	45643324
1063	ENSMUSG00000069601	chr10	+	70001922	70002601
1065	ENSMUSG00000018599	chr11	+	60730282	60730792
1067	ENSMUSG00000032363	chr9	+	90193024	90194269
1069	ENSMUSG00000062647	chr2	+	26912670	26913057
1071	ENSMUSG00000022255	chr15	+	34114023	34118110
1072	ENSMUSG00000027433	chr2	+	147029726	147029976
1073	ENSMUSG00000026083	chr1	+	38033067	38034103
1074	ENSMUSG00000026083	chr1	+	38050186	38051284
1075	ENSMUSG00000040370	chr6	+	145214521	145215271
1076	ENSMUSG00000040370	chr6	+	145214521	145215271
1081	ENSMUSG00000074634	chr13	+	119492633	119495505
1082	ENSMUSG00000048865	chr1	+	171403212	171403955
1084	ENSMUSG00000020785	chr11	+	73037194	73037625
1090	ENSMUSG00000026176	chr1	+	74393277	74393901
1092	ENSMUSG00000034432	chr1	+	90604374	90605512
1096	ENSMUSG00000042099	chr17	+	33822285	33822917
1097	ENSMUSG00000026207	chr1	+	75426763	75427211
1098	ENSMUSG00000014353	chr2	+	128845460	128846799
1099	ENSMUSG00000028248	chr4	+	21869515	21870405
1103	ENSMUSG00000022503	chr16	+	10419652	10421128
1104	ENSMUSG00000043843	chr7	+	25307447	25307676
1109	ENSMUSG00000024535	chr18	+	53389516	53390823
1110	ENSMUSG00000021134	chr12	+	80947495	80949168
1111	ENSMUSG00000021134	chr12	+	80947795	80949168
1112	ENSMUSG00000022721	chr16	+	18250819	18251660
1113	ENSMUSG00000022721	chr16	+	18250819	18251660
1114	ENSMUSG00000022721	chr16	+	18251358	18251660
1118	ENSMUSG00000006958	chr16	+	20738552	20739164
1119	ENSMUSG00000006958	chr16	+	20739406	20740056
1120	ENSMUSG00000026554	chr1	+	172186295	172187460
1123	ENSMUSG00000043065	chr16	+	44369879	44370378
1124	ENSMUSG00000007038	chr17	+	34932565	34934185
1127	ENSMUSG00000030727	chr7	+	126444522	126444936
1128	ENSMUSG00000063659	chr1	+	177447088	177450764
1129	ENSMUSG00000029504	chr5	+	110655306	110655673
1130	ENSMUSG00000034729	chr17	+	47372426	47372645
1131	ENSMUSG00000034729	chr17	+	47372426	47372645
1132	ENSMUSG00000034729	chr17	+	47372575	47375109
1133	ENSMUSG00000025145	chr11	+	120718441	120719132
1134	ENSMUSG00000097391	chr12	+	109731241	109731912
1135	ENSMUSG00000097391	chr12	+	109731241	109731912
1140	ENSMUSG00000034269	chr6	+	113120840	113121161
1145	ENSMUSG00000015536	chr13	+	114825210	114826281
1146	ENSMUSG00000015536	chr13	+	114825210	114826281
1147	ENSMUSG00000015536	chr13	+	114825210	114826281
1148	ENSMUSG00000015536	chr13	+	114825210	114826281
1149	ENSMUSG00000015536	chr13	+	114825210	114826281
1150	ENSMUSG00000026339	chr1	+	121494395	121497068
1151	ENSMUSG00000010110	chr19	+	8743079	8743423
1152	ENSMUSG00000010110	chr19	+	8748654	8748888
1153	ENSMUSG00000029062	chr4	+	155625530	155625773
1154	ENSMUSG00000024975	chr19	+	53929082	53929861
1155	ENSMUSG00000047793	chr1	+	93283201	93283687
1160	ENSMUSG00000021123	chr12	+	79211387	79212757
1161	ENSMUSG00000021123	chr12	+	79211387	79212757
1164	ENSMUSG00000029385	chr5	+	93270793	93271279
1166	ENSMUSG00000028641	chr4	+	119241481	119241804
1167	ENSMUSG00000024319	chr17	+	33959994	33960319
1168	ENSMUSG00000024319	chr17	+	33962066	33962546
1169	ENSMUSG00000021250	chr12	+	85474690	85475186
1180	ENSMUSG00000025583	chr11	+	119856266	119857453
1181	ENSMUSG00000025583	chr11	+	119894255	119895005
1182	ENSMUSG00000003437	chr7	+	28395417	28395695
1183	ENSMUSG00000024188	chr17	+	26253973	26255125
1184	ENSMUSG00000025504	chr7	+	141341892	141342110
1185	ENSMUSG00000025504	chr7	+	141357241	141357691
1198	ENSMUSG00000000600	chr5	+	3822086	3823785
1199	ENSMUSG00000041774	chr16	+	17146966	17147392
1200	ENSMUSG00000041774	chr16	+	17147597	17148846
1203	ENSMUSG00000033857	chr11	+	118485756	118486553
1204	ENSMUSG00000033857	chr11	+	118485756	118486553
1208	ENSMUSG00000022106	chr14	+	73154314	73154894
1209	ENSMUSG00000022106	chr14	+	73154314	73154894
1210	ENSMUSG00000022106	chr14	+	73176994	73178563
1212	ENSMUSG00000019779	chr10	+	34483399	34484369
1214	ENSMUSG00000030232	chr6	+	140650755	140652826
1221	ENSMUSG00000062312	chr11	+	98432910	98433253
1224	ENSMUSG00000071866	chr11	+	6418100	6418314
1226	ENSMUSG00000020359	chr11	+	51592005	51592285
1227	ENSMUSG00000020359	chr11	+	51593603	51594141
1228	ENSMUSG00000039041	chr2	+	180172855	180174033
1230	ENSMUSG00000044966	chr11	+	16953141	16953681
1234	ENSMUSG00000059552	chr11	+	69587371	69588547
1235	ENSMUSG00000027009	chr2	+	79288821	79289391
1236	ENSMUSG00000020463	chr11	+	29218455	29220797
1237	ENSMUSG00000009585	chr15	+	79905443	79906602
1241	ENSMUSG00000010097	chr19	+	8764921	8766833
1242	ENSMUSG00000010097	chr19	+	8767079	8767283
1243	ENSMUSG00000010097	chr19	+	8767079	8767283
1244	ENSMUSG00000068735	chr2	+	93198894	93199458
1246	ENSMUSG00000000223	chrX	+	134440334	134441386
1248	ENSMUSG00000029625	chr5	+	145177229	145178928
1249	ENSMUSG00000029625	chr5	+	145177229	145178928
1250	ENSMUSG00000029625	chr5	+	145177229	145178928
1251	ENSMUSG00000029625	chr5	+	145177229	145178928
1253	ENSMUSG00000033819	chr15	+	76692836	76693138
1254	ENSMUSG00000033819	chr15	+	76693013	76693724
1255	ENSMUSG00000071646	chr19	+	8946266	8946750
1257	ENSMUSG00000039356	chr2	+	31675838	31676736
1258	ENSMUSG00000039356	chr2	+	31675838	31676736
1259	ENSMUSG00000020372	chr11	+	48801662	48802420
1260	ENSMUSG00000029622	chr5	+	145123973	145124694
1261	ENSMUSG00000041763	chr1	+	43951106	43953381
1262	ENSMUSG00000041763	chr1	+	44001318	44003000
1263	ENSMUSG00000061718	chr11	+	98349995	98350629
1266	ENSMUSG00000020385	chr11	+	51275411	51275864
1267	ENSMUSG00000018387	chr11	+	53465495	53466256
1268	ENSMUSG00000008690	chr15	+	89363604	89363834
1269	ENSMUSG00000008690	chr15	+	89370394	89370675
1270	ENSMUSG00000008690	chr15	+	89370394	89370675
1271	ENSMUSG00000008690	chr15	+	89370752	89370993
1275	ENSMUSG00000064330	chr6	+	136959225	136961205
1279	ENSMUSG00000003184	chr7	+	45000371	45001022
1282	ENSMUSG00000020536	chr11	+	60712920	60714186
1284	ENSMUSG00000038180	chr2	+	156066133	156066866
1286	ENSMUSG00000071653	chr19	+	8889123	8889727
1288	ENSMUSG00000003421	chr7	+	45076068	45076428
1298	ENSMUSG00000064043	chr17	+	47353732	47353945
1306	ENSMUSG00000018559	chr11	+	69984253	69984534
1308	ENSMUSG00000018567	chr11	+	69992364	69992700
1309	ENSMUSG00000018567	chr11	+	69992364	69992700
1310	ENSMUSG00000020888	chr11	+	70004804	70005300
1314	ENSMUSG00000040746	chr11	+	70649674	70650017
1315	ENSMUSG00000040746	chr11	+	70649674	70650219
1317	ENSMUSG00000035772	chr2	+	28468242	28468950
1320	ENSMUSG00000034156	chr11	+	87781681	87782049
1321	ENSMUSG00000023088	chr16	+	14466103	14467098
1325	ENSMUSG00000029017	chr5	+	21743378	21746090
1326	ENSMUSG00000042289	chr7	+	127801833	127802113
1327	ENSMUSG00000042289	chr7	+	127802235	127803802
1328	ENSMUSG00000020741	chr11	+	74664030	74664926
1329	ENSMUSG00000020741	chr11	+	74665006	74665426
1330	ENSMUSG00000022407	chr15	+	80963659	80964027
1331	ENSMUSG00000062031	chr7	+	140944950	140945349
1334	ENSMUSG00000017999	chr2	+	167020499	167020714
1335	ENSMUSG00000020840	chr11	+	76949959	76951185
1337	ENSMUSG00000075702	chr11	+	3516485	3516920
1344	ENSMUSG00000000632	chr11	+	77973782	77974329
1345	ENSMUSG00000000632	chr11	+	77973782	77974636
1346	ENSMUSG00000000632	chr11	+	77973782	77974636
1347	ENSMUSG00000037791	chr11	+	78024812	78025086
1348	ENSMUSG00000037791	chr11	+	78024812	78025086
1353	ENSMUSG00000002058	chr11	+	78347796	78348259
1354	ENSMUSG00000029029	chr4	+	154152792	154154640
1355	ENSMUSG00000029029	chr4	+	154155240	154156292
1357	ENSMUSG00000029716	chr5	+	137583404	137584066
1360	ENSMUSG00000020701	chr11	+	82434242	82435179
1361	ENSMUSG00000020680	chr11	+	83504641	83505104
1366	ENSMUSG00000053746	chr2	+	32776303	32776806
1368	ENSMUSG00000039205	chr2	+	32363197	32363656
1369	ENSMUSG00000039205	chr2	+	32370863	32371408
1370	ENSMUSG00000039205	chr2	+	32370863	32371408
1371	ENSMUSG00000039205	chr2	+	32374341	32375572
1372	ENSMUSG00000039205	chr2	+	32376265	32377362
1374	ENSMUSG00000037400	chr3	+	35837485	35839214
1375	ENSMUSG00000037400	chr3	+	35855104	35856276
1376	ENSMUSG00000020486	chr11	+	87583317	87584014
1377	ENSMUSG00000020486	chr11	+	87588717	87589085
1378	ENSMUSG00000020486	chr11	+	87589655	87590055
1379	ENSMUSG00000020486	chr11	+	87589655	87590055
1380	ENSMUSG00000064289	chr2	+	61643714	61644422
1381	ENSMUSG00000002395	chr8	+	71367643	71367848
1382	ENSMUSG00000002395	chr8	+	71368849	71369303
1383	ENSMUSG00000079507	chr17	+	35320820	35321550
1384	ENSMUSG00000079507	chr17	+	35323466	35325099
1390	ENSMUSG00000026782	chr1	+	60437055	60438959
1391	ENSMUSG00000026782	chr1	+	60476739	60481158
1395	ENSMUSG00000006998	chr16	+	20659678	20660102
1398	ENSMUSG00000089736	chr8	+	4250466	4250921
1399	ENSMUSG00000074064	chr8	+	119401480	119402590
1400	ENSMUSG00000084786	chr9	+	20645192	20645489
1401	ENSMUSG00000097709	chr13	+	3478242	3480001
1402	ENSMUSG00000017221	chr11	+	98690462	98691019
1403	ENSMUSG00000026785	chr2	+	30079925	30080686
1408	ENSMUSG00000027263	chr2	+	121189361	121189965
1409	ENSMUSG00000027263	chr2	+	121189361	121189965
1410	ENSMUSG00000029102	chr5	+	35046883	35047264
1411	ENSMUSG00000021235	chr12	+	84368142	84368709
1412	ENSMUSG00000021235	chr12	+	84370255	84371031
1413	ENSMUSG00000021235	chr12	+	84370255	84371031
1414	ENSMUSG00000021235	chr12	+	84370255	84371558
1416	ENSMUSG00000021559	chr13	+	60760634	60763185
1418	ENSMUSG00000007029	chr17	+	35004771	35005061
1419	ENSMUSG00000007029	chr17	+	35011599	35011898
1420	ENSMUSG00000007029	chr17	+	35013121	35013390
1421	ENSMUSG00000007029	chr17	+	35013642	35013896
1422	ENSMUSG00000001240	chr11	+	101247585	101248250
1432	ENSMUSG00000056938	chr11	+	103103525	103104172
1433	ENSMUSG00000056938	chr11	+	103111541	103112197
1435	ENSMUSG00000034793	chr11	+	102192748	102193226
1436	ENSMUSG00000021281	chr12	+	111448246	111448639
1440	ENSMUSG00000020926	chr11	+	102777630	102780262
1441	ENSMUSG00000073125	chrX	+	73195941	73198385
1442	ENSMUSG00000073125	chrX	+	73197352	73198385
1443	ENSMUSG00000059540	chr2	+	181685791	181686752
1444	ENSMUSG00000059540	chr2	+	181686189	181686752
1445	ENSMUSG00000021223	chr12	+	83775342	83776561
1451	ENSMUSG00000022253	chr15	+	9100105	9100202
1453	ENSMUSG00000049281	chr9	+	40288373	40291618
1454	ENSMUSG00000047935	chr8	+	12429506	12430038
1457	ENSMUSG00000071074	chr17	+	46251113	46251487
1458	ENSMUSG00000016940	chr11	+	115429279	115431274
1459	ENSMUSG00000024845	chr19	+	4125959	4126200
1460	ENSMUSG00000024845	chr19	+	4127549	4127836
1461	ENSMUSG00000020781	chr11	+	115814914	115815238
1463	ENSMUSG00000026944	chr2	+	25446437	25446707
1464	ENSMUSG00000039307	chr11	+	121220863	121221590
1465	ENSMUSG00000020284	chr10	+	77979752	77980547
1466	ENSMUSG00000020284	chr10	+	77979752	77983041
1467	ENSMUSG00000039187	chr7	+	79448819	79449180
1468	ENSMUSG00000013483	chr11	+	119338234	119338935
1469	ENSMUSG00000025372	chr11	+	120000551	120002621
1470	ENSMUSG00000038637	chr7	+	141196981	141198361
1471	ENSMUSG00000025142	chr11	+	120708929	120709246
1472	ENSMUSG00000025142	chr11	+	120708929	120709246
1474	ENSMUSG00000003233	chr16	+	20522255	20523531
1477	ENSMUSG00000034813	chr10	+	119985473	119986484
1478	ENSMUSG00000020654	chr12	+	4210771	4211605
1479	ENSMUSG00000034121	chr11	+	87856562	87856936
1480	ENSMUSG00000034121	chr11	+	87857860	87859313
1483	ENSMUSG00000016344	chr2	+	181187549	181187886
1484	ENSMUSG00000004562	chr14	+	51987402	51989938
1485	ENSMUSG00000004562	chr14	+	52004878	52005035
1491	ENSMUSG00000024130	chr17	+	24366085	24366933
1492	ENSMUSG00000040938	chr11	+	70215283	70216413
1493	ENSMUSG00000037933	chr13	+	49341548	49341910
1494	ENSMUSG00000037933	chr13	+	49383042	49387025
1497	ENSMUSG00000038235	chr1	+	171460362	171460645
1498	ENSMUSG00000074063	chr8	+	119442432	119443107
1499	ENSMUSG00000036372	chr19	+	10206423	10207300
1506	ENSMUSG00000024410	chr18	+	12183978	12184262
1507	ENSMUSG00000024410	chr18	+	12188819	12189081
1508	ENSMUSG00000027677	chr3	+	33800190	33800674
1509	ENSMUSG00000045648	chr1	+	70728698	70729168
1512	ENSMUSG00000026213	chr1	+	75527057	75527466
1518	ENSMUSG00000003345	chr10	+	80638009	80638309
1519	ENSMUSG00000039354	chr1	+	72611294	72613024
1520	ENSMUSG00000040040	chr14	+	57479896	57481511
1521	ENSMUSG00000038619	chr3	+	95628540	95632102
1525	ENSMUSG00000021203	chr12	+	103402816	103403428
1528	ENSMUSG00000028687	chr4	+	116816312	116816507
1529	ENSMUSG00000028687	chr4	+	116817668	116818282
1530	ENSMUSG00000028687	chr4	+	116817887	116818282
1531	ENSMUSG00000040856	chr12	+	109459606	109463336
1532	ENSMUSG00000040856	chr12	+	109459606	109463336
1533	ENSMUSG00000027330	chr2	+	131192556	131193148
1540	ENSMUSG00000025995	chr1	+	45817262	45818264
1541	ENSMUSG00000025995	chr1	+	45818821	45819658
1542	ENSMUSG00000010608	chr12	+	83660594	83664259
1555	ENSMUSG00000034708	chr11	+	102434702	102435156
1556	ENSMUSG00000040463	chr11	+	72442569	72442853
1557	ENSMUSG00000040463	chr11	+	72445893	72446257
1558	ENSMUSG00000040463	chr11	+	72447552	72447882
1561	ENSMUSG00000024851	chr19	+	4106711	4107975
1562	ENSMUSG00000024851	chr19	+	4111581	4112014
1563	ENSMUSG00000036270	chr8	+	105887781	105888045
1565	ENSMUSG00000053931	chr3	+	121449948	121450358
1566	ENSMUSG00000058070	chr12	+	108537333	108539564
1567	ENSMUSG00000020817	chr11	+	70934404	70935182
1568	ENSMUSG00000020817	chr11	+	70934404	70935182
1583	ENSMUSG00000071657	chr19	+	8840534	8843090
1584	ENSMUSG00000071657	chr19	+	8845170	8846324
1585	ENSMUSG00000071657	chr19	+	8847666	8847982
1586	ENSMUSG00000020708	chr11	+	106262403	106262691
1588	ENSMUSG00000001632	chr6	+	113321728	113322086
1589	ENSMUSG00000024013	chr17	+	29364910	29365610
1590	ENSMUSG00000024013	chr17	+	29373217	29373414
1595	ENSMUSG00000002103	chr2	+	91206187	91206849
1596	ENSMUSG00000040549	chr2	+	91559048	91560911
1600	ENSMUSG00000033763	chr8	+	110737571	110738095
1601	ENSMUSG00000040310	chr2	+	93675295	93681339
1603	ENSMUSG00000058586	chr15	+	83101643	83101985
1605	ENSMUSG00000032724	chr2	+	103716039	103718423
1612	ENSMUSG00000028954	chr5	+	24694699	24695590
1613	ENSMUSG00000027134	chr2	+	112242475	112242761
1616	ENSMUSG00000074923	chr2	+	118693866	118694640
1619	ENSMUSG00000027298	chr2	+	119812059	119813299
1620	ENSMUSG00000033943	chr2	+	119946171	119946462
1622	ENSMUSG00000079110	chr2	+	120495235	120496073
1623	ENSMUSG00000079110	chr2	+	120502386	120502593
1626	ENSMUSG00000027245	chr2	+	121457645	121458043
1627	ENSMUSG00000029089	chr5	+	48372328	48374247
1628	ENSMUSG00000029386	chr5	+	124598748	124599242
1630	ENSMUSG00000027367	chr2	+	127284094	127284581
1632	ENSMUSG00000027374	chr2	+	127596899	127598276
1633	ENSMUSG00000027381	chr2	+	128128619	128129014
1634	ENSMUSG00000027405	chr2	+	130275662	130276174
1637	ENSMUSG00000027411	chr2	+	130437914	130438225
1639	ENSMUSG00000024382	chr18	+	32245488	32245919
1640	ENSMUSG00000068264	chr2	+	131212446	131213514
1642	ENSMUSG00000027270	chr2	+	136058945	136059626
1645	ENSMUSG00000021893	chr14	+	31370701	31371984
1646	ENSMUSG00000010057	chr9	+	107544597	107544840
1647	ENSMUSG00000010057	chr9	+	107544913	107545387
1648	ENSMUSG00000027425	chr2	+	144406622	144407676
1653	ENSMUSG00000026177	chr1	+	74379782	74380267
1654	ENSMUSG00000026177	chr1	+	74383624	74384173
1656	ENSMUSG00000027465	chr2	+	152307988	152308431
1657	ENSMUSG00000042745	chr2	+	152736250	152737410
1658	ENSMUSG00000042548	chr2	+	153393348	153393787
1660	ENSMUSG00000032827	chr6	+	5134016	5134932
1661	ENSMUSG00000032827	chr6	+	5134016	5134932
1669	ENSMUSG00000038241	chr2	+	155969994	155970236
1670	ENSMUSG00000038241	chr2	+	155969994	155970895
1671	ENSMUSG00000038241	chr2	+	155988311	155989620
1672	ENSMUSG00000005881	chr2	+	156017796	156018279
1673	ENSMUSG00000062175	chr2	+	156853128	156855570
1675	ENSMUSG00000024924	chr19	+	27217019	27217696
1676	ENSMUSG00000024924	chr19	+	27245534	27247090
1678	ENSMUSG00000037761	chr2	+	158635306	158636147
1679	ENSMUSG00000037761	chr2	+	158635306	158636147
1680	ENSMUSG00000027655	chr2	+	158826304	158827999
1681	ENSMUSG00000027936	chr3	+	90257116	90257411
1682	ENSMUSG00000027936	chr3	+	90258464	90259492
1683	ENSMUSG00000022553	chr15	+	76353137	76353460
1684	ENSMUSG00000016921	chr2	+	162931993	162933550
1685	ENSMUSG00000035576	chr2	+	162966545	162967085
1686	ENSMUSG00000063902	chr7	+	83755903	83756620
1687	ENSMUSG00000017721	chr2	+	164501080	164501650
1688	ENSMUSG00000017760	chr2	+	164834029	164834431
1689	ENSMUSG00000017760	chr2	+	164834697	164834924
1690	ENSMUSG00000017760	chr2	+	164834697	164834924
1691	ENSMUSG00000017652	chr2	+	165069628	165069848
1694	ENSMUSG00000074578	chr2	+	167065158	167065480
1695	ENSMUSG00000074578	chr2	+	167065433	167065862
1696	ENSMUSG00000028180	chr3	+	157541699	157543244
1697	ENSMUSG00000028180	chr3	+	157541699	157543244
1700	ENSMUSG00000030270	chr6	+	113292521	113293064
1701	ENSMUSG00000030270	chr6	+	113292521	113293755
1704	ENSMUSG00000039001	chr2	+	180257620	180257851
1705	ENSMUSG00000027569	chr2	+	180583400	180584871
1706	ENSMUSG00000027569	chr2	+	180583400	180584871
1707	ENSMUSG00000027569	chr2	+	180584405	180584871
1708	ENSMUSG00000027569	chr2	+	180583400	180584871
1709	ENSMUSG00000027569	chr2	+	180584405	180584871
1710	ENSMUSG00000038840	chr2	+	180930804	180931337
1716	ENSMUSG00000038685	chr2	+	181351575	181351953
1717	ENSMUSG00000038685	chr2	+	181354352	181355552
1718	ENSMUSG00000038685	chr2	+	181354352	181355552
1719	ENSMUSG00000090077	chr2	+	181382486	181382703
1721	ENSMUSG00000027584	chr2	+	181718376	181719372
1722	ENSMUSG00000078765	chr7	+	30563325	30563619
1723	ENSMUSG00000078765	chr7	+	30564081	30564301
1724	ENSMUSG00000078765	chr7	+	30564081	30564301
1725	ENSMUSG00000078765	chr7	+	30564081	30564607
1726	ENSMUSG00000078765	chr7	+	30564202	30564607
1727	ENSMUSG00000078765	chr7	+	30566748	30567500
1728	ENSMUSG00000025792	chr11	+	120497013	120497461
1729	ENSMUSG00000033728	chr15	+	76712866	76713985
1730	ENSMUSG00000033728	chr15	+	76712866	76713985
1731	ENSMUSG00000055681	chr8	+	70304633	70306651
1732	ENSMUSG00000055681	chr8	+	70312705	70312990
1737	ENSMUSG00000027667	chr3	+	32515283	32517139
1738	ENSMUSG00000027671	chr3	+	32720185	32720515
1742	ENSMUSG00000045411	chr7	+	44247250	44248295
1743	ENSMUSG00000045411	chr7	+	44250308	44252312
1744	ENSMUSG00000005958	chr16	+	21214324	21214997
1745	ENSMUSG00000005958	chr16	+	21220419	21220894
1746	ENSMUSG00000005958	chr16	+	21221864	21222304
1747	ENSMUSG00000036810	chr8	+	88129694	88130401
1748	ENSMUSG00000036810	chr8	+	88129694	88130401
1749	ENSMUSG00000027349	chr2	+	117257633	117259355
1750	ENSMUSG00000049482	chr8	+	122478892	122479412
1751	ENSMUSG00000049482	chr8	+	122480901	122481224
1752	ENSMUSG00000049482	chr8	+	122480901	122481224
1753	ENSMUSG00000049482	chr8	+	122481330	122481529
1755	ENSMUSG00000066952	chr5	+	114361042	114361324
1756	ENSMUSG00000066952	chr5	+	114361042	114361324
1759	ENSMUSG00000025766	chr3	+	41756048	41758939
1761	ENSMUSG00000004891	chr3	+	87975420	87980451
1762	ENSMUSG00000042606	chr7	+	126862599	126862926
1764	ENSMUSG00000069678	chr6	+	83080549	83080854
1765	ENSMUSG00000005506	chr2	+	91013237	91019497
1766	ENSMUSG00000005506	chr2	+	91013237	91019497
1767	ENSMUSG00000027776	chr3	+	68695189	68695346
1768	ENSMUSG00000027776	chr3	+	68695189	68695580
1769	ENSMUSG00000025478	chr7	+	139091861	139093667
1770	ENSMUSG00000025478	chr7	+	139093760	139094462
1771	ENSMUSG00000058254	chrX	+	10590135	10595354
1772	ENSMUSG00000058254	chrX	+	10590135	10596605
1776	ENSMUSG00000027714	chr3	+	36553805	36554142
1779	ENSMUSG00000028086	chr3	+	84967439	84969301
1781	ENSMUSG00000099689	chr7	+	29912168	29912685
1782	ENSMUSG00000038023	chr5	+	124712700	124713268
1783	ENSMUSG00000032525	chr9	+	121727315	121729680
1792	ENSMUSG00000001415	chr3	+	88342440	88342564
1796	ENSMUSG00000041423	chr3	+	88365027	88365802
1801	ENSMUSG00000028057	chr3	+	88717325	88717658
1802	ENSMUSG00000028057	chr3	+	88717325	88717658
1803	ENSMUSG00000028057	chr3	+	88725994	88726471
1804	ENSMUSG00000028057	chr3	+	88725994	88726471
1806	ENSMUSG00000019039	chr9	+	108571044	108571674
1807	ENSMUSG00000019039	chr9	+	108571781	108572297
1812	ENSMUSG00000028456	chr4	+	43257846	43258302
1815	ENSMUSG00000042404	chr3	+	90277734	90278129
1816	ENSMUSG00000042390	chr3	+	90354307	90355785
1819	ENSMUSG00000001016	chr3	+	90486850	90487097
1823	ENSMUSG00000053819	chr3	+	126770784	126771846
1826	ENSMUSG00000028137	chr3	+	94486793	94487284
1827	ENSMUSG00000028137	chr3	+	94488138	94488670
1829	ENSMUSG00000078490	chr4	+	155463447	155463999
1832	ENSMUSG00000068874	chr3	+	94937207	94938075
1835	ENSMUSG00000015750	chr3	+	95895142	95895570
1836	ENSMUSG00000045934	chr3	+	96164785	96165085
1837	ENSMUSG00000058503	chr5	+	3558660	3559159
1838	ENSMUSG00000058503	chr5	+	3558660	3559159
1839	ENSMUSG00000028102	chr3	+	96643574	96644726
1840	ENSMUSG00000028101	chr3	+	96699419	96699837
1841	ENSMUSG00000028101	chr3	+	96699419	96699837
1843	ENSMUSG00000005687	chr3	+	103174339	103177419
1844	ENSMUSG00000005687	chr3	+	103174339	103177419
1845	ENSMUSG00000005687	chr3	+	103175618	103177419
1846	ENSMUSG00000058388	chr3	+	103997432	103998803
1851	ENSMUSG00000000561	chr3	+	105965764	105966425
1852	ENSMUSG00000000561	chr3	+	105965764	105966425
1862	ENSMUSG00000025571	chr11	+	117749576	117753144
1864	ENSMUSG00000039963	chr11	+	119245834	119246350
1865	ENSMUSG00000029056	chr4	+	154978920	154979592
1868	ENSMUSG00000044365	chr3	+	134239402	134240715
1870	ENSMUSG00000029661	chr6	+	4508939	4509639
