	GeneID	chr	strand	1stExonStart	1stExonEnd	2ndExonStart	2ndExonEnd	upstreamEE	downstreamES
2361	ENSMUSG00000035258	chr16	+	56594461	56594536	56596233	56596305	56592681	56596761
2363	ENSMUSG00000031311	chrX	+	101430492	101430552	101437208	101437377	101429762	101439486
2364	ENSMUSG00000031311	chrX	+	101430495	101430552	101437208	101437377	101429762	101439486
2365	ENSMUSG00000006127	chr11	+	75633462	75633571	75636943	75637060	75633176	75637409
2366	ENSMUSG00000006127	chr11	+	75645427	75645617	75646785	75646923	75639565	75647192
2367	ENSMUSG00000006127	chr11	+	75646785	75646923	75647192	75647276	75645617	75647401
2385	ENSMUSG00000060012	chr14	+	64708491	64708504	64714073	64714134	64669717	64715387
2387	ENSMUSG00000028222	chr4	+	15895628	15895685	15898877	15898955	15895524	15900768
2388	ENSMUSG00000019302	chr11	+	101011756	101011937	101018563	101018642	101009564	101020472
2389	ENSMUSG00000019302	chr11	+	101018563	101018642	101020472	101020570	101011937	101021053
2390	ENSMUSG00000019302	chr11	+	101021053	101021182	101048417	101048525	101020570	101055025
2391	ENSMUSG00000019302	chr11	+	101026659	101026763	101029175	101029258	101021182	101030409
2392	ENSMUSG00000019302	chr11	+	101026680	101026763	101029175	101029258	101021182	101030409
2393	ENSMUSG00000019302	chr11	+	101027266	101027393	101030409	101030503	101026763	101033900
2394	ENSMUSG00000019302	chr11	+	101027266	101029258	101030409	101030503	101026763	101033900
2395	ENSMUSG00000019302	chr11	+	101038689	101038847	101039820	101039911	101038298	101042949
2396	ENSMUSG00000019302	chr11	+	101048417	101048525	101049458	101049476	101044623	101055025
2397	ENSMUSG00000019302	chr11	+	101049458	101049476	101055025	101055143	101048525	101055433
2400	ENSMUSG00000003464	chr1	+	172133129	172133306	172133999	172134044	172130773	172134206
2401	ENSMUSG00000028069	chr3	+	88043466	88043601	88051161	88051289	88043179	88051672
2402	ENSMUSG00000024158	chr17	+	24861312	24861414	24863676	24863756	24861049	24864192
2406	ENSMUSG00000018372	chr11	+	106801462	106801578	106804992	106805121	106800143	106806235
2407	ENSMUSG00000018372	chr11	+	106804992	106805121	106806235	106806429	106801578	106809191
2408	ENSMUSG00000018372	chr11	+	106811195	106811349	106812395	106812535	106809757	106813760
2410	ENSMUSG00000052423	chr1	+	171270582	171270689	171270991	171271105	171270414	171271202
2411	ENSMUSG00000038290	chr11	+	74946006	74946219	74981851	74981913	74945632	74990069
2412	ENSMUSG00000038290	chr11	+	74981851	74981913	74990069	74990215	74946219	75038612
2413	ENSMUSG00000038290	chr11	+	75041867	75042036	75053761	75053963	75038729	75139192
2417	ENSMUSG00000029767	chr6	+	29361293	29361487	29361559	29361753	29356697	29366039
2418	ENSMUSG00000037386	chr15	+	39517805	39517871	39534837	39535017	39511374	39535871
2419	ENSMUSG00000037386	chr15	+	39535871	39535981	39616268	39616510	39511374	39674939
2420	ENSMUSG00000037386	chr15	+	39566942	39567043	39585589	39585762	39535981	39616268
2427	ENSMUSG00000063200	chr13	+	43400592	43400621	43400852	43400934	43399569	43401296
2428	ENSMUSG00000063200	chr13	+	43400852	43400934	43401296	43401418	43400621	43401499
2429	ENSMUSG00000025425	chr18	+	77232792	77232885	77242103	77242190	77186225	77246066
2430	ENSMUSG00000025425	chr18	+	77232792	77232885	77242103	77242190	77211763	77246066
2431	ENSMUSG00000033701	chr1	+	155601453	155601536	155624868	155624958	155567681	155677203
2432	ENSMUSG00000002147	chr10	+	127658196	127658260	127658356	127658461	127657702	127658628
2434	ENSMUSG00000020828	chr11	+	70555595	70555730	70555907	70556061	70555381	70557007
2435	ENSMUSG00000022354	chr15	+	58936267	58936460	58937351	58937465	58933938	58939274
2442	ENSMUSG00000039934	chr5	+	21226243	21226348	21226773	21226833	21221295	21228023
2443	ENSMUSG00000039934	chr5	+	21226243	21226348	21228023	21228067	21221295	21229160
2444	ENSMUSG00000039934	chr5	+	21226773	21226833	21228023	21228067	21226348	21229160
2445	ENSMUSG00000033793	chr1	+	5101069	5101123	5117389	5117487	5098133	5124276
2446	ENSMUSG00000033793	chr1	+	5135811	5135937	5143749	5143851	5133262	5149947
2447	ENSMUSG00000025189	chr19	+	43472376	43472424	43484844	43485008	43471948	43491420
2451	ENSMUSG00000060073	chr12	+	70978732	70978815	70993012	70993080	70974767	70993505
2452	ENSMUSG00000060073	chr12	+	70978732	70978815	70983323	70983442	70974767	70984492
2453	ENSMUSG00000060073	chr12	+	70983318	70983442	70984492	70984594	70978815	70984671
2454	ENSMUSG00000060073	chr12	+	70983323	70983442	70984492	70984594	70978815	70984671
2455	ENSMUSG00000060073	chr12	+	70988423	70988489	70993012	70993080	70978815	70993505
2456	ENSMUSG00000060073	chr12	+	70990484	70990531	70993505	70993570	70988489	70994350
2457	ENSMUSG00000060073	chr12	+	70993012	70993080	70993505	70993570	70990531	70994350
2459	ENSMUSG00000034973	chr9	+	86548169	86548306	86548800	86548856	86545393	86550002
2460	ENSMUSG00000086363	chr13	+	29016709	29016879	29023175	29023212	29016391	29028421
2461	ENSMUSG00000086363	chr13	+	29023175	29023212	29028421	29028471	29016879	29030157
2462	ENSMUSG00000086363	chr13	+	29023175	29023212	29030157	29030241	29016879	29039942
2463	ENSMUSG00000031170	chrX	+	8272874	8272948	8273586	8273679	8272767	8273797
2467	ENSMUSG00000075318	chr2	+	65681996	65682125	65682689	65682781	65681087	65683670
2468	ENSMUSG00000075318	chr2	+	65682502	65682594	65682689	65682781	65682125	65683670
2469	ENSMUSG00000078786	chr7	+	27196905	27197366	27200553	27200622	27196107	27201019
2470	ENSMUSG00000054690	chr3	+	137391592	137391706	137403983	137404022	137379913	137416720
2472	ENSMUSG00000002031	chr9	+	44789566	44789627	44789890	44789976	44786904	44790484
2474	ENSMUSG00000026058	chr1	+	32243899	32244027	32333465	32333582	32173008	32414870
2475	ENSMUSG00000026058	chr1	+	32333465	32333582	32414870	32415017	32244027	32467759
2476	ENSMUSG00000026058	chr1	+	32619170	32619253	32644092	32644151	32472765	32657443
2477	ENSMUSG00000025451	chr13	+	119430159	119430329	119437968	119438154	119428640	119440758
2478	ENSMUSG00000025451	chr13	+	119430159	119430329	119437968	119438154	119429160	119440758
2479	ENSMUSG00000025451	chr13	+	119437968	119438154	119440758	119440871	119430329	119445736
2480	ENSMUSG00000025451	chr13	+	119440758	119440871	119445736	119445848	119438154	119447714
2481	ENSMUSG00000025451	chr13	+	119445736	119445848	119447714	119447840	119440871	119455695
2482	ENSMUSG00000047454	chr12	+	78412340	78412433	78454756	78454851	78376417	78481298
2483	ENSMUSG00000047454	chr12	+	78492037	78492310	78504616	78504751	78481365	78562855
2484	ENSMUSG00000047454	chr12	+	78493949	78494057	78504616	78504751	78492310	78590533
2485	ENSMUSG00000047454	chr12	+	78493949	78494057	78562855	78562898	78492310	78590533
2486	ENSMUSG00000047454	chr12	+	78504616	78504751	78562855	78562898	78492310	78590533
2487	ENSMUSG00000047454	chr12	+	78522897	78522954	78532656	78532698	78504751	78562855
2488	ENSMUSG00000047454	chr12	+	78562855	78562898	78590533	78590671	78504751	78609144
2489	ENSMUSG00000047454	chr12	+	78562855	78562898	78637457	78637579	78504751	78654806
2490	ENSMUSG00000047454	chr12	+	78590533	78590671	78609144	78609237	78562898	78612971
2491	ENSMUSG00000047454	chr12	+	78669823	78669888	78680290	78680394	78664564	78682717
2492	ENSMUSG00000047454	chr12	+	78680290	78680394	78682717	78682814	78669888	78683777
2493	ENSMUSG00000025857	chr5	+	139161700	139161933	139163198	139163411	139153476	139166059
2494	ENSMUSG00000023805	chr17	+	5985971	5986242	5990135	5990361	5975881	5996877
2495	ENSMUSG00000030638	chr7	+	82273860	82273994	82276126	82276285	82270916	82284054
2496	ENSMUSG00000026404	chr1	+	136419409	136419577	136424794	136424884	136417396	136432311
2497	ENSMUSG00000040423	chr1	+	160959400	160959553	160962270	160962484	160955979	160963478
2504	ENSMUSG00000021048	chr12	+	76293390	76293437	76294139	76294247	76291117	76294354
2510	ENSMUSG00000026589	chr1	+	157554746	157554852	157556764	157556905	157553044	157558034
2513	ENSMUSG00000015476	chr17	+	34630632	34631171	34631769	34631955	34629704	34632083
2517	ENSMUSG00000055409	chr7	+	50279517	50279646	50448839	50448965	50258265	50560766
2518	ENSMUSG00000055409	chr7	+	50448839	50448965	50560766	50560889	50279646	50701155
2519	ENSMUSG00000055409	chr7	+	50560766	50560889	50701155	50701251	50448965	50848482
2520	ENSMUSG00000024425	chr18	+	38452304	38452429	38456054	38456121	38451642	38460544
2521	ENSMUSG00000024425	chr18	+	38456054	38456121	38460544	38460650	38452429	38464276
2523	ENSMUSG00000023984	chr17	+	47612962	47613117	47618808	47619062	47611692	47672043
2526	ENSMUSG00000045098	chr19	+	3782219	3782279	3782755	3782852	3768340	3786388
2535	ENSMUSG00000026473	chr1	+	153904536	153904698	153906348	153906495	153903112	153907019
2536	ENSMUSG00000039419	chr6	+	47095509	47095749	47107856	47107990	47049428	47192985
2537	ENSMUSG00000039419	chr6	+	47107856	47107990	47192985	47193079	47095749	47271139
2538	ENSMUSG00000039419	chr6	+	47192985	47193079	47271139	47271379	47107990	47296718
2539	ENSMUSG00000039419	chr6	+	47271139	47271379	47296718	47296799	47193079	47298414
2544	ENSMUSG00000041992	chr12	+	117647043	117647117	117658277	117658403	117613429	117688563
2545	ENSMUSG00000041992	chr12	+	117658277	117658403	117688563	117688682	117647117	117689147
2552	ENSMUSG00000074781	chr10	+	95541204	95541451	95541637	95541778	95515237	95542271
2556	ENSMUSG00000000766	chr10	+	6849805	6850107	6907874	6908061	6830497	6972198
2557	ENSMUSG00000000766	chr10	+	6849805	6850107	6932966	6933367	6830497	6972198
2558	ENSMUSG00000000766	chr10	+	6849805	6850107	6933071	6933367	6830497	6972198
2559	ENSMUSG00000000766	chr10	+	6907874	6908061	6932966	6933367	6830497	6972198
2560	ENSMUSG00000000766	chr10	+	6907874	6908061	6933071	6933367	6830497	6972198
2561	ENSMUSG00000056427	chr11	+	35700203	35700489	35703111	35703320	35698460	35707906
2562	ENSMUSG00000020454	chr11	+	3221092	3221294	3224631	3224807	3220530	3227394
2563	ENSMUSG00000020454	chr11	+	3227705	3227885	3229868	3230065	3227530	3233987
2564	ENSMUSG00000020454	chr11	+	3227705	3227885	3229868	3230101	3227530	3233987
2565	ENSMUSG00000020454	chr11	+	3229868	3230101	3233987	3234059	3227885	3234461
2566	ENSMUSG00000020454	chr11	+	3229868	3230101	3233987	3234059	3227885	3234584
2574	ENSMUSG00000024498	chr18	+	42568427	42568610	42571014	42571194	42568035	42571823
2575	ENSMUSG00000015461	chr17	+	34648218	34648297	34648576	34648668	34647316	34649117
2583	ENSMUSG00000032393	chr9	+	65053044	65053173	65053768	65053830	65051500	65054418
2584	ENSMUSG00000032393	chr9	+	65066350	65066496	65074438	65074585	65063954	65075735
2589	ENSMUSG00000024528	chr18	+	52483632	52483704	52487511	52487593	52476372	52488250
2590	ENSMUSG00000037860	chr1	+	173393962	173394033	173427758	173427898	173350973	173452827
2592	ENSMUSG00000039318	chr1	+	185263630	185263859	185266900	185267014	185262839	185267172
2593	ENSMUSG00000039318	chr1	+	185263630	185263859	185266900	185267074	185262839	185267172
2599	ENSMUSG00000006576	chr1	+	75546771	75546921	75547232	75547398	75546382	75547943
2600	ENSMUSG00000006576	chr1	+	75546771	75546921	75547232	75547398	75546613	75547943
2601	ENSMUSG00000006576	chr1	+	75546814	75546921	75547232	75547398	75546613	75547943
2604	ENSMUSG00000048924	chr13	+	100682766	100682844	100684285	100684371	100681867	100687108
2605	ENSMUSG00000049299	chr11	+	69324394	69324465	69324823	69324962	69324256	69325438
2606	ENSMUSG00000039842	chr8	+	18627117	18627240	18629545	18629635	18622694	18631515
2607	ENSMUSG00000039842	chr8	+	18627117	18627240	18631515	18632643	18622694	18641564
2608	ENSMUSG00000039842	chr8	+	18629545	18629635	18631515	18632643	18627240	18641564
2609	ENSMUSG00000039842	chr8	+	18631515	18632643	18641564	18641665	18629635	18668945
2610	ENSMUSG00000028412	chr4	+	53481463	53481553	53491387	53491530	53440716	53517544
2614	ENSMUSG00000021838	chr14	+	47016276	47016795	47052849	47053113	46885016	47064219
2615	ENSMUSG00000042472	chr12	+	84329801	84329952	84331634	84331816	84327470	84332934
2616	ENSMUSG00000042133	chr2	+	69743612	69743780	69746027	69746115	69741693	69748960
2617	ENSMUSG00000028519	chr4	+	103951833	103951993	104161878	104161950	103619745	104177845
2618	ENSMUSG00000028519	chr4	+	103951833	103951993	104161878	104161950	103619745	104479073
2619	ENSMUSG00000028519	chr4	+	104161878	104161950	104479073	104479275	103951993	104605297
2620	ENSMUSG00000028519	chr4	+	104680069	104680108	104681597	104681663	104679572	104688382
2621	ENSMUSG00000028519	chr4	+	104681597	104681663	104688382	104688442	104680108	104718209
2622	ENSMUSG00000021420	chr13	+	36204508	36205141	36232121	36232281	36118005	36341936
2623	ENSMUSG00000021420	chr13	+	36204508	36205141	36341936	36342097	36118005	36410078
2624	ENSMUSG00000021420	chr13	+	36246362	36246494	36341936	36342097	36232281	36410078
2629	ENSMUSG00000054693	chr9	+	70766871	70767055	70767808	70767917	70766102	70768791
2630	ENSMUSG00000054693	chr9	+	70766897	70767055	70767808	70767917	70766102	70768791
2631	ENSMUSG00000020467	chr11	+	28867465	28867514	28867652	28868039	28854554	28910609
2632	ENSMUSG00000020467	chr11	+	28867652	28868039	28910609	28910732	28867514	28914587
2633	ENSMUSG00000028292	chr4	+	34633657	34633713	34636951	34637035	34630570	34639244
2634	ENSMUSG00000028292	chr4	+	34633657	34633713	34639244	34639321	34630570	34645696
2635	ENSMUSG00000028292	chr4	+	34646507	34646614	34647785	34647881	34645855	34650190
2641	ENSMUSG00000028059	chr3	+	88632912	88633042	88633257	88633367	88632339	88633499
2647	ENSMUSG00000021193	chr13	+	6575016	6575129	6577389	6577515	6574431	6578440
2648	ENSMUSG00000056820	chr8	+	125024506	125024637	125028767	125028895	125015769	125032496
2649	ENSMUSG00000031808	chr8	+	71584632	71584770	71584841	71585006	71584546	71585345
2650	ENSMUSG00000001999	chr2	+	127080529	127080658	127085962	127086082	127070730	127086844
2651	ENSMUSG00000001999	chr2	+	127082931	127083050	127085962	127086082	127080658	127086844
2652	ENSMUSG00000050822	chr5	+	142714010	142714139	142715045	142715120	142713000	142717591
2654	ENSMUSG00000035376	chr16	+	35048719	35048738	35075605	35075694	35025942	35099755
2655	ENSMUSG00000035376	chr16	+	35075605	35075694	35099755	35099877	35048738	35101945
2656	ENSMUSG00000035376	chr16	+	35099755	35099877	35101945	35102124	35075694	35106314
2657	ENSMUSG00000071072	chr10	+	128070133	128070232	128072067	128072157	128069285	128074221
2660	ENSMUSG00000033192	chr8	+	92875554	92875589	92879399	92879454	92874291	92886565
2663	ENSMUSG00000025915	chr1	+	9885988	9886142	9888869	9889025	9885753	9891360
2664	ENSMUSG00000025915	chr1	+	9886046	9886142	9888869	9889025	9885753	9891360
2667	ENSMUSG00000021171	chr12	+	116357111	116357186	116363394	116363544	116348314	116365554
2670	ENSMUSG00000035620	chr10	+	84925545	84925593	84947411	84948020	84917825	84958015
2671	ENSMUSG00000035620	chr10	+	84992119	84992264	85001781	85001901	84980192	85015075
2673	ENSMUSG00000005871	chr18	+	34279268	34279352	34289837	34289942	34276677	34296030
2674	ENSMUSG00000005871	chr18	+	34282006	34282009	34289837	34289942	34279352	34296030
2675	ENSMUSG00000005871	chr18	+	34289837	34289942	34296030	34296129	34279352	34298422
2683	ENSMUSG00000028047	chr3	+	89220957	89221110	89221333	89221444	89220229	89221526
2687	ENSMUSG00000035754	chr10	+	79966344	79966469	79966559	79966726	79966270	79967319
2688	ENSMUSG00000035311	chr10	+	88414392	88414598	88419124	88419189	88412646	88419425
2689	ENSMUSG00000026312	chr1	+	110100020	110100138	110108703	110108955	110099349	110137861
2691	ENSMUSG00000015094	chr2	+	25407462	25407542	25407595	25407736	25406361	25407840
2692	ENSMUSG00000036949	chr2	+	14420055	14420228	14434205	14434355	14407614	14435658
2693	ENSMUSG00000036949	chr2	+	14420055	14420228	14434205	14434355	14407614	14444011
2694	ENSMUSG00000036949	chr2	+	14434205	14434355	14435658	14435766	14420228	14444011
2699	ENSMUSG00000038902	chr3	+	94856042	94856201	94860795	94860971	94854074	94862421
2700	ENSMUSG00000038902	chr3	+	94856042	94856201	94862421	94862530	94854074	94864087
2702	ENSMUSG00000060477	chr6	+	113665702	113665846	113670198	113670293	113647821	113672738
2709	ENSMUSG00000020794	chr11	+	72663070	72663173	72672959	72673057	72607635	72677704
2710	ENSMUSG00000020101	chr10	+	60364200	60364308	60367765	60367793	60358994	60368528
2724	ENSMUSG00000026349	chr1	+	127791604	127791733	127793357	127793418	127775182	127795254
2725	ENSMUSG00000026349	chr1	+	127793357	127793418	127795254	127795317	127791733	127797840
2727	ENSMUSG00000033007	chr1	+	75469670	75469833	75470278	75470335	75469484	75472283
2729	ENSMUSG00000056211	chr1	+	128153188	128153399	128167892	128168007	128151952	128174948
2730	ENSMUSG00000056211	chr1	+	128162201	128162243	128162768	128162858	128153399	128167892
2731	ENSMUSG00000056211	chr1	+	128167892	128168007	128174948	128175008	128153399	128175091
2732	ENSMUSG00000056211	chr1	+	128168978	128169057	128174948	128175008	128168007	128175091
2733	ENSMUSG00000056211	chr1	+	128193459	128193756	128196973	128197097	128186909	128211204
2734	ENSMUSG00000056211	chr1	+	128196973	128197097	128211204	128211359	128193756	128216400
2735	ENSMUSG00000056211	chr1	+	128211204	128211359	128216400	128216552	128197097	128221599
2736	ENSMUSG00000056211	chr1	+	128216400	128216552	128221599	128221703	128211359	128223468
2737	ENSMUSG00000056211	chr1	+	128221599	128221703	128223468	128223641	128216552	128231322
2747	ENSMUSG00000022812	chr16	+	38144259	38144453	38170663	38170747	38090613	38184434
2748	ENSMUSG00000022812	chr16	+	38219971	38220158	38228677	38228776	38208090	38240501
2749	ENSMUSG00000048388	chr2	+	83858217	83858373	83860406	83860577	83855529	83876670
2750	ENSMUSG00000038773	chr18	+	34796787	34796912	34799284	34799359	34795780	34803449
2751	ENSMUSG00000038773	chr18	+	34799284	34799359	34803449	34804049	34796912	34808240
2752	ENSMUSG00000038773	chr18	+	34819780	34819888	34822371	34822499	34813561	34823431
2753	ENSMUSG00000038773	chr18	+	34822371	34822499	34823431	34823711	34819888	34824701
2755	ENSMUSG00000021987	chr14	+	60277128	60277245	60280082	60280245	60265361	60281936
2756	ENSMUSG00000021987	chr14	+	60293383	60293509	60296119	60296169	60293027	60296573
2770	ENSMUSG00000021431	chr13	+	38217373	38217495	38220687	38220776	38216513	38221234
2772	ENSMUSG00000029212	chr5	+	71700804	71700872	71869398	71869619	71700380	72029826
2773	ENSMUSG00000001909	chr8	+	84691251	84691439	84695221	84695337	84690947	84695427
2774	ENSMUSG00000001909	chr8	+	84691251	84691439	84695221	84695324	84690947	84695427
2775	ENSMUSG00000002279	chr17	+	25585542	25585852	25588675	25588686	25579379	25612295
2776	ENSMUSG00000002279	chr17	+	25585542	25585852	25588675	25588742	25579379	25612295
2777	ENSMUSG00000042901	chr1	+	183306884	183306939	183313660	183313724	183306477	183313978
2778	ENSMUSG00000024330	chr17	+	34045770	34045848	34046439	34046502	34045010	34049618
2779	ENSMUSG00000024330	chr17	+	34045770	34045848	34047097	34047277	34045010	34049618
2780	ENSMUSG00000024330	chr17	+	34046439	34046502	34047097	34047277	34045010	34049618
2781	ENSMUSG00000007850	chr11	+	50379820	50379964	50381458	50381597	50379623	50382536
2784	ENSMUSG00000067336	chr1	+	59842742	59842834	59845477	59845708	59841541	59847057
2787	ENSMUSG00000035769	chr9	+	119388680	119388768	119390429	119390524	119386377	119391740
2792	ENSMUSG00000026159	chr1	+	82876170	82876324	82882227	82882437	82875450	82883180
2793	ENSMUSG00000026159	chr1	+	82876170	82876324	82882227	82882437	82875450	82883243
2794	ENSMUSG00000026159	chr1	+	82880007	82880127	82880746	82880818	82876324	82882227
2795	ENSMUSG00000026159	chr1	+	82886374	82886467	82891459	82891507	82886187	82893423
2796	ENSMUSG00000054199	chr3	+	88869802	88869843	88880070	88880174	88868851	88886905
2797	ENSMUSG00000054199	chr3	+	88875906	88875930	88880070	88880174	88869843	88886905
2799	ENSMUSG00000022332	chr15	+	68995051	68995170	69013357	69013474	68928833	69017327
2800	ENSMUSG00000022332	chr15	+	69013357	69013474	69029714	69029910	68995170	69049378
2801	ENSMUSG00000022332	chr15	+	69029714	69029910	69049378	69049461	69024839	69091133
2802	ENSMUSG00000022332	chr15	+	69049378	69049461	69091133	69091192	69029910	69092900
2815	ENSMUSG00000057101	chr7	+	24085425	24085506	24097820	24097895	24082238	24101447
2816	ENSMUSG00000057101	chr7	+	24085425	24085506	24101447	24101568	24082238	24104404
2817	ENSMUSG00000057101	chr7	+	24097820	24097895	24101447	24101568	24085506	24104404
2818	ENSMUSG00000021728	chr13	+	117268929	117268963	117272044	117272099	117267599	117273044
2820	ENSMUSG00000056267	chr9	+	99246222	99246366	99254254	99254377	99243490	99262545
2821	ENSMUSG00000056267	chr9	+	99246266	99246366	99254254	99254377	99243490	99262545
2822	ENSMUSG00000056267	chr9	+	99246266	99246366	99254254	99254377	99243884	99262545
2826	ENSMUSG00000030116	chr6	+	122521892	122521928	122524486	122524510	122520928	122525950
2827	ENSMUSG00000042705	chr18	+	46967739	46967895	46990478	46990589	46963770	47086251
2831	ENSMUSG00000026109	chr1	+	50943196	50943223	51071467	51071564	50938342	51132142
2832	ENSMUSG00000026109	chr1	+	51133058	51133118	51180251	51180375	51132291	51181736
2833	ENSMUSG00000026109	chr1	+	51180251	51180375	51181736	51181895	51133118	51185384
2835	ENSMUSG00000024835	chr19	+	4149862	4149985	4150089	4150219	4149544	4150439
2836	ENSMUSG00000032855	chr17	+	24587927	24588021	24591014	24591217	24587834	24591286
2837	ENSMUSG00000032855	chr17	+	24590818	24590937	24591014	24591217	24588021	24591286
2838	ENSMUSG00000061981	chr11	+	78049477	78049559	78054784	78054875	78038112	78055756
2839	ENSMUSG00000061981	chr11	+	78053362	78053453	78054784	78054875	78049559	78055756
2840	ENSMUSG00000061981	chr11	+	78057261	78057380	78057487	78057601	78055880	78057701
2841	ENSMUSG00000034453	chr10	+	84695554	84695713	84696948	84697066	84693006	84699398
2842	ENSMUSG00000032883	chr1	+	78681592	78682010	78688236	78688414	78658103	78690268
2843	ENSMUSG00000032883	chr1	+	78681592	78682010	78688236	78688414	78663280	78690268
2844	ENSMUSG00000032883	chr1	+	78692081	78692220	78694195	78694346	78690378	78696080
2845	ENSMUSG00000032883	chr1	+	78699755	78699830	78701268	78701460	78699168	78703485
2847	ENSMUSG00000074867	chr13	+	62169441	62169568	62169753	62169814	62130028	62171149
2849	ENSMUSG00000017119	chr11	+	101556174	101556291	101559518	101559581	101555875	101560432
2850	ENSMUSG00000017119	chr11	+	101577193	101577251	101577931	101578037	101576409	101580584
2856	ENSMUSG00000022800	chr16	+	32891264	32891413	32895084	32895197	32884252	32898373
2863	ENSMUSG00000034098	chr3	+	76223840	76223874	76322053	76322302	76145090	76410437
2865	ENSMUSG00000037509	chr1	+	34732108	34732408	34745317	34745444	34725159	34793225
2866	ENSMUSG00000037509	chr1	+	34732108	34732408	34793225	34793362	34725159	34804913
2867	ENSMUSG00000037509	chr1	+	34745317	34745444	34793225	34793362	34732408	34804913
2871	ENSMUSG00000048834	chr11	+	16259854	16260021	16261437	16261488	16258086	16262913
2872	ENSMUSG00000048834	chr11	+	16259854	16260021	16262913	16263250	16258086	16368216
2873	ENSMUSG00000048834	chr11	+	16368216	16368376	16409719	16409805	16263250	16426650
2874	ENSMUSG00000004056	chr7	+	27629295	27629427	27632417	27632483	27628990	27633198
2875	ENSMUSG00000004056	chr7	+	27629334	27629427	27632417	27632483	27628990	27633198
2876	ENSMUSG00000004056	chr7	+	27632417	27632483	27633198	27633267	27629427	27634561
2879	ENSMUSG00000019916	chr10	+	59354339	59354410	59355349	59355420	59352259	59361860
2880	ENSMUSG00000036333	chr12	+	25040455	25040569	25047893	25047926	25038550	25051094
2881	ENSMUSG00000036333	chr12	+	25041245	25041302	25046202	25046235	25040569	25047893
2882	ENSMUSG00000036333	chr12	+	25041245	25041302	25047893	25047926	25040569	25051094
2883	ENSMUSG00000036333	chr12	+	25046202	25046235	25047893	25047926	25041302	25051094
2884	ENSMUSG00000000085	chr4	+	120453243	120453306	120462012	120462155	120447161	120463074
2885	ENSMUSG00000000085	chr4	+	120453751	120453775	120463074	120463145	120453306	120468234
2886	ENSMUSG00000000085	chr4	+	120453751	120453775	120456284	120456509	120453306	120462012
2887	ENSMUSG00000000085	chr4	+	120478001	120478090	120483589	120483833	120468469	120505283
2888	ENSMUSG00000053580	chr11	+	105673419	105673491	105713381	105713564	105625124	105776805
2889	ENSMUSG00000053580	chr11	+	105673419	105673491	105713381	105713453	105625124	105776805
2890	ENSMUSG00000024743	chr19	+	10421756	10421888	10426298	10426667	10418042	10435549
2891	ENSMUSG00000024743	chr19	+	10421756	10421888	10430337	10430460	10418042	10435549
2892	ENSMUSG00000024743	chr19	+	10426298	10426667	10430337	10430460	10418042	10435549
2894	ENSMUSG00000004768	chr1	+	33736799	33736882	33738287	33738380	33734858	33739252
2895	ENSMUSG00000022211	chr14	+	55494804	55494893	55495403	55495498	55494728	55495723
2896	ENSMUSG00000032059	chr9	+	50783257	50783328	50788152	50788241	50779104	50789496
2905	ENSMUSG00000022201	chr15	+	12118238	12118338	12140433	12140652	12117947	12146148
2906	ENSMUSG00000022201	chr15	+	12146148	12146396	12149527	12149719	12140652	12150172
2909	ENSMUSG00000033342	chr3	+	117625654	117625905	117662452	117662629	117621101	117671899
2910	ENSMUSG00000033342	chr3	+	117662452	117662629	117671899	117672019	117625905	117686615
2911	ENSMUSG00000033342	chr3	+	117662452	117662629	117671899	117672034	117625905	117686615
2912	ENSMUSG00000041164	chr11	+	6395567	6395678	6395757	6395872	6395288	6396327
2913	ENSMUSG00000041164	chr11	+	6395757	6395872	6396327	6396434	6395678	6396664
2914	ENSMUSG00000041164	chr11	+	6396231	6396434	6396664	6396848	6395872	6397028
2915	ENSMUSG00000041164	chr11	+	6396327	6396434	6396664	6396848	6395872	6397028
2920	ENSMUSG00000035504	chr10	+	80333965	80334134	80334712	80334793	80333827	80335109
2921	ENSMUSG00000026005	chr1	+	66715112	66715247	66715958	66716045	66714716	66717753
2922	ENSMUSG00000035863	chr10	+	79812342	79812364	79815184	79815241	79809620	79819040
2929	ENSMUSG00000026269	chr1	+	92918872	92919103	92919183	92919326	92918126	92919561
2930	ENSMUSG00000026269	chr1	+	92918905	92919103	92919183	92919326	92918126	92919561
2931	ENSMUSG00000026269	chr1	+	92918937	92919103	92919183	92919326	92918126	92919561
2932	ENSMUSG00000025979	chr1	+	55145123	55145224	55148547	55148634	55136739	55150145
2933	ENSMUSG00000025925	chr1	+	15815885	15815972	15818933	15819083	15813162	15819650
2934	ENSMUSG00000028019	chr3	+	81141404	81141600	81174815	81174996	81037554	81204234
2935	ENSMUSG00000028019	chr3	+	81141404	81141600	81174815	81174996	81131076	81204234
2936	ENSMUSG00000028383	chr4	+	59592154	59592318	59593236	59593335	59581775	59594395
2937	ENSMUSG00000028383	chr4	+	59592154	59592318	59612681	59612810	59581775	59617634
2938	ENSMUSG00000028383	chr4	+	59594395	59594510	59597256	59597355	59593335	59601372
2939	ENSMUSG00000042496	chr9	+	31316169	31316334	31318511	31318571	31313621	31325626
2940	ENSMUSG00000041915	chr18	+	31761779	31761890	31771669	31772114	31760194	31774235
2941	ENSMUSG00000034653	chr18	+	44833021	44833218	44834458	44834658	44830242	44837340
2942	ENSMUSG00000020300	chr11	+	31889857	31889939	31908824	31908875	31873412	31920408
